Node 1,weight 1,Node 2,weight 2,Node 3,weight 3,Node 4,weight 4,Node 5,weight 5,Node 6,weight 6,Node 7,weight 7,Node 8,weight 8,Node 9,weight 9,Node 10,weight 10,Node 11,weight 11,Node 12,weight 12,Node 13,weight 13,Node 14,weight 14,Node 15,weight 15,Node 16,weight 16,Node 17,weight 17,Node 18,weight 18,Node 19,weight 19,Node 20,weight 20,Node 21,weight 21,Node 22,weight 22,Node 23,weight 23,Node 24,weight 24,Node 25,weight 25,Node 26,weight 26,Node 27,weight 27,Node 28,weight 28,Node 29,weight 29,Node 30,weight 30,Node 31,weight 31,Node 32,weight 32,Node 33,weight 33,Node 34,weight 34,Node 35,weight 35,Node 36,weight 36,Node 37,weight 37,Node 38,weight 38,Node 39,weight 39,Node 40,weight 40,Node 41,weight 41,Node 42,weight 42,Node 43,weight 43,Node 44,weight 44,Node 45,weight 45,Node 46,weight 46,Node 47,weight 47,Node 48,weight 48,Node 49,weight 49,Node 50,weight 50
kdpB,-0.36803948,PA2729,0.31201636,PA0699,0.40989722,PA4502,-0.30530828,PA5062,0.50622814,PA4290,0.33870578,PA0220,-0.35017076,PA1342,-0.38042478,PA2112,-0.53318265,PA2754,-0.34545668,PA0314,-0.2980372,flgF,-0.39374911,PA3830,-0.296535,pscE,-0.3119512,ndh,0.30187054,hom,0.35723764,PA3600,-0.3501242,PA4651,-0.31342085,PA4709,-0.29411163,PA0478,-0.39093147,PA1789,0.33640976,sodM,0.33441597,PA3008,0.36031371,PA2166,-0.38103085,pilA,-0.37406366,PA3600,0.36529298,lysA,0.35266523,amn,0.50583505,rhlI,-0.33977604,PA0122,0.37196003,flgC,0.40625229,pqsA,-0.34710059,PA3871,-0.34478751,PA4141,-0.37517654,PA3317,0.36643137,arnD,-0.36535921,PA1668,0.31524005,PA2880,-0.32683168,antC,0.31703021,PA0879,-0.38234809,PA5364,0.37490086,PA3187,0.29735797,PA2678,0.31484773,PA3822,-0.38313665,PA1578,0.33277835,PA4014,0.29771871,PA4775,-0.37386007,PA3248,0.31518479,gcvH1,0.29878045,PA1056,-0.38502356
braG,-0.36865238,nosF,0.31184624,wspC,0.40798268,PA4104,-0.30613518,rpmH,0.50450625,PA1088,0.33824523,PA2208,-0.3509392,hutU,-0.38116714,PA5475,-0.53695567,pasP,-0.34631507,PA1765,-0.29837809,PA0284,-0.39438882,dipZ,-0.29677281,PA1954,-0.31231706,pstB,0.30176422,PA1057,0.3569967,PA3283,-0.35075428,oprO,-0.31584405,PA4219,-0.29577776,PA4925,-0.39148124,PA0534,0.33600202,PA3008,0.33367936,moeB,0.35948409,PA5026,-0.38148997,PA3261,-0.37549194,PA0052,0.36522979,PA3732,0.35232733,PA2678,0.50577796,opdH,-0.34083717,PA3157,0.37158343,ftsZ,0.40617768,PA3345,-0.34757112,eddB,-0.34523011,PA3326,-0.37577986,PA0048,0.366427,phuR,-0.36600536,PA3371,0.3150974,PA0760,-0.32686502,PA2937,0.31679153,nirL,-0.38337374,nuoL,-0.3806234,liuB,0.29706016,tolB,0.31455572,PA4998,-0.38332354,cioB,0.33240977,PA3937,0.29769932,gapA,-0.37541366,PA2260,0.31492823,PA3180,0.29742031,hpaC,-0.38514506
spuC,-0.37081438,PA0135,0.31066559,aruF,0.40758233,PA2554,-0.30833939,PA3127,0.50166343,PA3709,0.33629935,betT1,-0.35247133,exaA,-0.38220146,PA3572,-0.53870209,PA4611,-0.34684086,PA1873,-0.29839951,PA0952,-0.3948363,PA2351,-0.29681012,htpG,-0.3123322,PA2567,0.30164805,nuoL,0.35560762,PA1300,-0.35120165,PA4607,-0.31653842,PA1260,-0.29637293,PA3829,-0.39196901,ccoN2,0.33383118,PA2792,0.33339449,pcaT,0.35870171,PA0072,-0.38224947,nusG,-0.37586059,pscB,0.3647347,PA0082,0.35218292,rpmH,0.50316849,PA2788,-0.34188538,PA3530,0.37111322,PA3040,0.40518811,rhlG,-0.3475986,tal,-0.34530581,PA1106,-0.37609026,tesA,0.36584062,PA3530,-0.36626926,mucD,0.31442864,PA0647,-0.32721623,PA2935,0.31675665,PA4430,-0.38341669,nth,-0.38102452,antA,0.29673395,PA0013,0.31446875,PA2204,-0.38342337,PA4562,0.3322762,xseB,0.29653157,pvdQ,-0.37631481,PA0914,0.31489814,PA1293,0.2973638,PA2589,-0.38516417
PA4202,-0.37136072,PA4195,0.3094555,PA3375,0.40573782,PA1657,-0.30919558,oprL,0.49950134,PA0935,0.33609949,kdpA,-0.35248456,PA4574,-0.38229094,PA0734,-0.54274138,PA2401,-0.34728724,PA2161,-0.2984482,exbB1,-0.39492234,PA2293,-0.29850615,napF,-0.31260156,exsE,-0.31992997,efp,0.35515601,PA0049,-0.35303667,waaL,-0.31716206,PA5167,-0.29699478,PA2721,-0.39219209,dhcA,0.33337909,aruF,0.33270699,PA1931,0.35838799,PA3939,-0.38331221,PA0980,-0.37710685,PA4471,0.3637067,PA2606,0.35051237,PA3628,0.50312094,PA3808,-0.3437466,PA2182,0.37082533,PA2544,0.40468296,PA1974,-0.34838396,PA0846,-0.3459877,PA0746,-0.37627965,PA3710,0.36530127,PA0534,-0.36676881,PA2068,0.31384545,PA4674,-0.32765875,PA2406,-0.3274169,PA3526,-0.38613805,glnD,-0.38114232,PA0713,0.2966705,PA2852,0.31445769,tig,-0.38377892,PA4603,0.33138789,PA0034,0.29619705,PA0636,-0.37665302,clpB,0.3146778,tpx,0.29710401,PA2167,-0.38532877
amiC,-0.37185202,PA1566,0.30879254,PA2736,0.40510475,PA3222,-0.31016448,PA4805,0.49919965,PA4435,0.33542693,PA2898,-0.35445855,PA3818,-0.38230308,PA1414,-0.54768987,PA3566,-0.34792454,PA0344,-0.29880095,PA4844,-0.39564381,PA0161,-0.2985929,PA0941,-0.31330404,PA2328,-0.32131968,PA4673,0.35453687,PA4073,-0.35455002,PA2066,-0.31736959,PA4090,-0.29783192,nosZ,-0.39234263,PA5232,0.33336875,prpC,0.33232362,PA1190,0.35807081,PA1658,-0.38725674,PA5566,-0.37848208,PA0491,-0.38256323,metR,0.35020811,PA1353,0.50214748,iscS,-0.34402896,PA1243,0.37035812,PA0838,0.40295347,PA3069,-0.34900661,PA0677,-0.34622783,modC,-0.37651374,PA0636,0.36225269,PA0558,-0.36728684,PA0345,0.31364988,PA2501,-0.32816282,PA0855,-0.33058098,eraR,-0.38623116,PA2037,-0.38117514,PA5166,0.29621401,galU,0.31437467,truB,-0.38397537,napE,0.3307053,PA0308,0.29579493,PA2759,-0.37711962,grpE,0.31385594,PA0634,-0.29985922,PA0860,-0.38575991
PA4094,-0.37338848,betI,0.30840143,PA0252,0.40448083,PA0226,-0.31142215,PA2433,0.49825873,PA3349,0.33203102,PA5384,-0.35474381,PA2760,-0.38338001,PA2109,-0.55084057,mvaT,-0.34829243,PA2134,-0.29892455,PA0810,-0.3958888,pilW,-0.29869763,PA4375,-0.3146673,PA0976,-0.32143696,PA4105,0.35451434,PA3906,-0.35476219,PA0747,-0.3188275,PA3837,-0.2979062,PA0530,-0.39365827,PA0596,0.33234918,PA0909,0.33229552,PA1415,0.35669901,PA5230,-0.38770739,PA2673,-0.37949305,PA2750,-0.38286629,fleS,0.34841033,trkH,0.50187595,rhlC,-0.34473456,PA1616,0.368205,sodB,0.40286569,PA1109,-0.34928398,fhp,-0.34629668,PA0910,-0.3780421,PA2105,0.3614432,pvdR,-0.36783364,PA1219,0.31357329,PA4278,-0.32856496,pilM,-0.33110403,PA2605,-0.38637485,PA1514,-0.38129575,nuoE,0.29608439,PA0445,0.31312418,glpF,-0.38429412,PA4889,0.33007762,PA4335,0.29535196,PA0781,-0.37739954,sodM,0.31235131,PA2523,-0.30007257,ftsW,-0.38657225
PA2190,-0.37348537,PA5423,0.30809121,PA2161,0.40401461,ambD,-0.31246736,hfq,0.49807277,PA3311,0.33143014,PA1917,-0.35546659,PA2274,-0.38564541,PA0820,-0.55091355,ppgL,-0.34837059,PA5401,-0.30008758,PA5101,-0.39611563,cbpD,-0.29954638,napE,-0.31565458,PA4317,-0.32161255,hmgA,0.35388953,PA5127,-0.35591512,PA2947,-0.31970143,pchG,-0.3006529,PA5388,-0.39370858,PA5097,0.3318322,ppgL,0.33163685,PA4638,0.35664836,PA0122,-0.38967162,PA0621,-0.3812606,PA3502,-0.38338813,PA2475,0.34729577,PA3649,0.50105858,PA2172,-0.34517149,PA5525,0.36604271,fliM,0.40254988,PA2708,-0.34944032,PA3448,-0.34642346,zwf,-0.37810454,PA1738,0.36130216,PA0062,-0.36838327,PA3739,0.31328735,PA3336,-0.32872335,PA2537,-0.33112815,PA2485,-0.38788891,PA2099,-0.38182358,PA5088,-0.30283075,PA5225,-0.30949158,rne,-0.38502529,sdhC,0.3300635,PA5031,0.29521617,vqsM,-0.38051567,PA5546,0.31233715,nirM,-0.30017014,PA1208,-0.38683142
PA0635,-0.37454797,PA3969,0.30747377,aruG,0.40398502,pqsA,-0.31266397,PA5312,0.49774951,PA3754,0.33118982,dgcA,-0.35670552,PA1194,-0.3871718,PA4130,-0.55435488,nosL,-0.34888081,PA1877,-0.30126342,PA3921,-0.39785969,PA3187,-0.30029462,ntrC,-0.31567503,pmrB,-0.32188796,nqrE,0.35339229,PA2552,-0.35652856,PA2803,-0.32039572,PA2340,-0.30123108,PA0216,-0.39428093,PA2372,0.331626,PA1323,0.33118657,PA3213,0.35630614,hcnC,-0.39008934,PA4150,-0.38133088,PA5470,-0.38557986,PA1458,0.34723031,thiC,0.50080272,PA4324,-0.34684523,PA3896,0.36513384,PA4326,0.40171939,PA0560,-0.35070949,PA1811,-0.34657262,PA1579,-0.37872164,PA0621,0.36050895,PA0103,-0.37066735,PA1666,0.31317656,lrp,-0.3289363,PA2729,-0.33149716,PA0505,-0.38987894,PA0987,-0.38222415,PA2747,-0.3033452,PA3431,-0.30986053,pilF,-0.38671283,psrA,0.32993947,PA0802,0.29469259,PA3187,-0.38124538,PA0434,0.31217784,copR,-0.3003208,PA0156,-0.38685746
PA1046,-0.37525433,cobP,-0.31683068,PA0563,0.40115918,clpV1,-0.31296234,rplP,0.49502896,PA0505,0.32934059,PA0907,-0.35682068,atuG,-0.38727533,adhA,-0.5561971,pvdJ,-0.34911216,PA3842,-0.30145233,PA4843,-0.40242178,glk,-0.30142105,dnaJ,-0.31615936,PA0083,-0.32325238,micA,0.35276918,lptF,-0.35681258,PA0679,-0.32051746,liuB,-0.30163682,PA2699,-0.39466503,ureA,0.33113585,PA0720,0.33100876,PA3123,0.35607762,cbpD,-0.39181212,PA1322,-0.38197649,PA5177,-0.38571231,metZ,0.34701486,PA1638,0.49995708,PA2141,-0.34800609,nirC,0.36456208,gabP,-0.40285825,PA2156,-0.35169436,PA2312,-0.34701274,ccpR,-0.37927434,PA4496,0.35988798,PA5099,-0.37332319,katE,0.3124455,PA4072,-0.33054114,pvdP,-0.33155633,PA4365,-0.39157574,PA0096,-0.38265197,PA3488,-0.30338277,PA3211,-0.31124342,nusG,-0.38771844,PA4618,0.32987582,PA1355,0.29449927,PA1939,-0.38351412,PA0269,0.31209711,PA3205,-0.3008165,PA0386,-0.38800199
phhC,-0.37881388,PA4909,-0.31713282,nosR,-0.41803224,PA1020,-0.31321848,pqsB,0.49498488,PA0704,0.32930651,PA1270,-0.35701015,PA3896,-0.38848146,PA1429,-0.55943221,PA1517,-0.35013182,PA2430,-0.30152381,rhlR,-0.40277276,PA3431,-0.30282993,gapA,-0.31621787,PA1219,-0.32329326,fahA,0.35214762,PA4132,-0.35748057,PA3188,-0.32055375,PA0089,-0.30204597,pchB,-0.39482442,PA3458,0.32964894,PA2554,0.33099556,PA2788,0.35594372,PA4139,-0.39541786,PA2625,-0.38302027,PA4918,-0.3858169,PA4429,0.34651064,PA5132,0.49956588,PA0276,-0.34815813,PA3512,0.3631979,dctA,-0.40331531,PA4131,-0.35227167,PA0698,-0.34709777,PA2747,-0.381231,napF,0.35723537,mdcC,-0.37390733,algE,0.31210175,rplA,-0.3330436,PA2411,-0.33169201,kdpC,-0.39567563,PA0957,-0.38386181,PA1939,-0.30351243,PA4933,-0.31153424,PA0640,-0.3898643,secF,0.32933969,PA2916,0.29408154,galE,-0.38488328,pvdA,0.30961714,PA0907,-0.30260678,PA4338,-0.39015982
catB,-0.38171448,PA1283,-0.31766972,oruR,-0.41892303,PA2833,-0.3132826,PA0398,0.49390145,PA1991,0.32894633,PA1143,-0.35943421,speC,-0.38940857,PA4611,-0.57190672,PA3284,-0.35036992,pvdP,-0.30165224,PA5232,-0.40327441,mdcD,-0.30419535,cysD,-0.31809899,stp1,-0.32333028,PA5407,0.35170891,toxR,-0.3589538,aroP2,-0.32084969,coIII,-0.30232893,napA,-0.39498214,PA4133,0.3292358,arnT,0.33029916,PA3231,0.35495855,PA0184,-0.39604669,PA3506,-0.38309367,pcaB,-0.38617453,PA1790,-0.35642286,wbpM,0.49891633,PA1856,-0.34846029,PA1123,0.36268275,PA5168,-0.40387853,PA3868,-0.35369947,PA4485,-0.34808885,PA3712,-0.38215173,cioB,0.35666377,PA2746,-0.37392818,purK,0.31203306,PA0688,-0.33308841,cysW,-0.33236642,algU,-0.39587288,PA0529,-0.38510352,PA1133,-0.30495574,PA0469,-0.31161686,ostA,-0.3903274,ygcA,0.3283712,kdpF,0.29382696,oprN,-0.38498521,PA3430,0.3095746,fimV,-0.30316942,PA2954,-0.39137642
PA3766,-0.38481052,PA4543,-0.31911432,napA,-0.41901026,bfmR,-0.31354641,coaC,0.48869511,PA3520,0.32853974,PA2767,-0.35945561,PA0060,-0.38946612,PA2461,-0.57239605,PA0200,-0.35085331,PA3219,-0.30375099,PA2762,-0.40405658,pscB,-0.30489124,PA3600,-0.31944406,PA2506,-0.32353011,PA2020,0.35103976,PA2411,-0.35957439,PA0688,-0.32102103,PA1895,-0.30266065,phzF2,-0.39527044,rubA1,0.32853957,dadA,0.33020336,iscA,0.35421898,PA2684,-0.39776862,PA2106,-0.38510747,PA5166,-0.38639776,PA3237,-0.35722825,PA4323,-0.58023866,PA2282,-0.34958177,PA2393,0.36251489,PA3967,-0.40459644,hcnA,-0.35589427,PA3450,-0.34809631,PA4475,-0.38241894,PA2573,0.35607566,PA0050,-0.37619479,PA0144,0.31130949,PA0695,-0.33327284,PA0007,-0.33563063,PA3788,-0.39636411,PA0095,-0.38585205,PA0632,-0.3064337,pta,-0.31320823,PA4459,-0.39204147,PA2534,0.32837095,PA3450,0.2937004,PA0046,-0.38524577,PA2033,0.30879395,PA2930,-0.30380067,PA0107,-0.39290439
PA0633,-0.3850461,xcpZ,-0.31917291,ccmF,-0.42064312,PA4129,-0.31384229,phhA,0.48468225,PA2604,0.32837073,PA4351,-0.36019604,glyQ,-0.38963268,PA2114,-0.58713775,fhp,-0.35091809,PA0178,-0.30649625,PA2202,-0.40633728,PA2066,-0.30544793,PA1113,-0.32162994,PA4471,-0.32353176,PA5216,0.35061,PA0691,-0.36029618,PA2067,-0.32124096,nqrD,-0.30355556,PA4106,-0.39643995,cysN,-0.33216833,PA4739,0.32970012,rhlB,0.35258405,PA4735,-0.39914271,pilV,-0.38538592,PA5432,-0.3863981,PA0630,-0.35778281,PA0268,-0.58095056,PA0839,-0.35056949,PA3661,0.36169949,PA0718,-0.40544851,PA1428,-0.35691004,eddA,-0.34815481,PA3023,-0.38246862,PA5542,0.35496507,hutH,-0.37840424,PA4983,0.31112518,phoA,-0.33376496,PA2370,-0.33573619,PA3667,-0.39645607,PA2757,-0.38587952,PA2156,-0.30664966,pchG,-0.3132915,lpxA,-0.39234394,PA4721,0.32770457,PA3784,0.29166455,PA1744,-0.38790694,ccoO2,0.3083985,ccoP2,-0.30422921,PA4950,-0.39314003
fahA,-0.38673067,chpB,-0.31982426,PA4629,-0.42241346,PA3891,-0.31581326,PA0122,0.48461998,mdcA,0.32836318,metR,-0.36141472,fahA,-0.3897434,pilC,-0.59876428,PA2037,-0.35225184,eddA,-0.30689802,PA3905,-0.41124536,tonB2,-0.30591031,PA0449,-0.32260475,PA2033,-0.32356401,plsX,0.34975829,oprO,-0.36070742,PA3715,-0.32157406,PA2786,-0.3035859,PA0276,-0.39761792,cysI,-0.33254604,PA2553,0.32604974,PA2143,0.35173191,antC,-0.40040105,rubA2,-0.3858966,PA3027,-0.38686795,PA0822,-0.35826538,pvcB,-0.58147449,PA2814,-0.35119494,pslB,0.36165983,PA0721,-0.40561388,PA1095,-0.35730566,plcR,-0.34881338,PA3189,-0.38281685,PA5198,0.3542575,PA4775,-0.37970986,PA1212,0.31050688,PA3144,-0.33693319,PA4502,-0.33609056,rpmH,-0.39787708,PA4139,-0.38612255,PA4105,-0.30728669,PA2019,-0.31830609,rpsD,-0.39297223,PA5311,0.32736344,mifS,0.2912735,PA1214,-0.38802244,PA2610,0.30759231,erbR,-0.30449607,PA4474,-0.39334414
PA0634,-0.38910259,wbpX,-0.32004431,PA1140,-0.42242061,PA3271,-0.31633983,pqsE,0.48439191,PA4703,0.32791624,PA5510,-0.3622422,PA2146,-0.39168638,PA4131,-0.59877177,PA5212,-0.35296019,purU2,-0.30716101,PA4981,-0.41273966,PA0492,-0.30620961,wapR,-0.32436714,ccmB,-0.32424578,hutH,0.34925367,pchF,-0.36077834,moaA1,-0.32206761,wzt,-0.30473121,PA3451,-0.39944201,fpvB,-0.33427596,gcdH,0.32525991,PA3465,0.35170783,PA4134,-0.40083321,armR,-0.38760292,PA0285,-0.38711345,PA3867,-0.35900024,PA0868,-0.58185291,PA5524,-0.35133433,PA4040,0.36133982,PA4805,-0.40637882,PA4365,-0.35902651,phaC1,-0.35031987,PA1969,-0.38324988,hutH,0.3536431,nrdJb,-0.38137803,PA4894,0.30962592,PA0679,-0.33869203,PA1061,-0.33662744,ilvI,-0.39790916,PA3493,-0.38737487,PA0721,-0.30870734,PA0468,-0.31960997,PA0730,-0.39310907,PA4485,0.32710819,PA1907,0.29071344,wzz,-0.39020667,phzM,0.30730124,PA0391,-0.30480516,lysP,-0.39462375
PA2555,-0.39122323,PA4404,-0.32056157,nuoI,-0.42291214,msuE,-0.31636503,PA1789,0.48347991,pchD,0.32734139,PA4105,-0.36346207,PA0752,-0.39434004,PA1746,-0.60308321,PA0588,-0.35307971,PA5285,-0.30757302,PA1123,-0.41310741,fimU,-0.30628728,PA0586,-0.32457859,pcrV,-0.32505337,PA3716,0.34850048,PA5106,-0.36097656,lpdV,-0.32408784,mmsB,-0.30562596,PA5108,-0.39954853,PA1837,-0.33451724,PA1541,0.32347771,PA4107,0.35149662,PA0193,-0.40508777,PA1366,-0.38795279,PA0227,-0.38754999,gloA2,-0.35926844,PA0388,-0.58354434,PA3371,-0.35291354,PA4593,-0.37862499,PA2121,-0.40671656,mexG,-0.35908232,aprE,-0.35162564,gapA,-0.38407224,pilE,0.35303864,PA4365,-0.38187753,PA4154,0.30879228,PA2882,-0.34008611,aotM,-0.33871699,pqqB,-0.39796594,PA0953,-0.38770646,PA0554,-0.30929101,PA4115,-0.31976206,PA1217,-0.39385305,PA2041,0.32703566,dgt,0.29033478,PA3662,-0.39115463,fumC1,0.30657247,PA0515,-0.30515996,flgF,-0.39627756
PA0616,-0.39150077,PA2682,-0.32168299,PA1271,-0.4242928,PA2079,-0.31682991,PA2591,0.48119683,PA4925,0.32648003,PA1137,-0.36404273,PA2143,-0.39488477,PA4577,-0.60684195,PA0737,-0.35349166,algP,-0.30768349,PA4033,-0.41420447,PA1254,-0.30633261,PA1772,-0.3251553,PA1220,-0.32523837,lpxD,0.34803117,PA1660,-0.36200596,PA0130,-0.3247553,xcpP,-0.3066799,napD,-0.39975879,PA4895,-0.33470289,pscB,0.32249231,PA4312,0.35148153,PA1870,-0.40695295,PA3370,-0.3903486,PA3215,-0.38855828,PA3660,-0.35995607,PA0847,-0.5836816,pvdS,-0.35297387,PA2548,-0.37964227,kdsA,-0.40730669,PA4134,-0.36035391,phoP,-0.35218141,PA1245,-0.38421398,PA2935,-0.39040523,PA1892,-0.3822829,PA0855,0.30834988,oprL,-0.34091231,pqsC,-0.33890313,glpK,-0.39811272,PA0098,-0.38786739,PA0110,-0.30993224,PA0073,-0.32011596,galE,-0.39450431,PA0333,0.32686012,PA4705,0.29028342,PA0226,-0.39394633,PA1093,0.30642663,PA3142,-0.30652823,mucB,-0.3968924
PA0473,-0.39182673,hasAp,-0.32206801,PA2766,-0.42480919,PA4130,-0.31740078,PA4187,0.480987,PA1677,0.32571458,alkB2,-0.36490428,PA1895,-0.39543025,arcD,-0.61455612,liuC,-0.35359623,PA2393,-0.30956237,PA3326,-0.41440908,rhlC,-0.30671568,PA0960,-0.3261839,PA4889,-0.3254582,rpsQ,0.34721901,PA0681,-0.36465493,PA2022,-0.32588508,PA1256,-0.30780446,PA3519,-0.40001647,PA2913,-0.33527198,fptA,0.32243704,PA4702,0.35123962,exbD1,-0.40824379,PA0729,-0.39292756,tauD,-0.38995691,PA2103,-0.36120531,prfC,-0.58428373,PA4515,-0.35477491,PA0781,-0.37979371,mdcE,-0.40780647,PA0826,-0.36074751,metF,-0.35317334,PA3618,-0.38450605,PA1365,-0.39068946,mucK,-0.38324099,pgm,0.30805592,rplS,-0.3415782,PA1216,-0.33973101,PA2321,-0.40096986,PA2675,-0.38798488,lasI,-0.309987,PA4889,-0.32026005,katB,-0.39482655,gloA1,-0.33182503,PA0320,0.28925805,femA,-0.3945011,phhB,0.3048925,PA3866,-0.30760686,PA2149,-0.39834499
amiR,-0.39243957,ppsA,-0.32232037,PA0667,-0.42547951,PA0076,-0.31745271,PA0503,0.47957359,bdhA,0.3252137,PA1108,-0.36524258,snr1,-0.39608719,pys2,-0.62196296,PA4610,-0.35407159,PA3374,-0.31014034,popB,-0.41441687,PA2916,-0.30718097,gltR,-0.32737805,PA1169,-0.32569671,rplJ,0.34702404,arcB,-0.36505618,PA2661,-0.32615631,ohrR,-0.30796246,PA1254,-0.40152662,PA3410,-0.3354461,sth,0.32233998,phzF2,0.34870749,phzM,-0.41377439,opdE,-0.39486039,PA2660,-0.39218842,smpB,-0.36413928,PA0553,-0.58698491,nosR,-0.35506717,pstS,-0.3810499,PA3739,-0.40835739,PA1468,-0.36176679,lasI,-0.35319694,PA2375,-0.38461901,PA3377,-0.39257077,cyoC,-0.38359012,lldP,0.30775793,PA2971,-0.34246376,PA2360,-0.34324553,morB,-0.40235865,plcH,-0.38892921,PA3262,-0.31164562,PA5114,-0.32074542,pcnB,-0.39517382,nirS,-0.33322045,PA4060,0.28874123,PA3331,-0.395363,pepA,0.30303083,PA3040,-0.30769916,PA1243,-0.39881066
PA5313,-0.39261584,oprC,-0.32259551,grpE,-0.42701931,PA0130,-0.31828211,PA5144,0.47907708,flgH,0.32511206,betA,-0.36696853,thrH,-0.39615233,imm2,-0.62605437,PA5494,-0.35475881,PA3688,-0.31017258,PA0109,-0.41459419,lldP,-0.30734932,PA0743,-0.3276461,PA3842,-0.32785252,ftsA,0.34702253,pvdA,-0.36695854,hisF2,-0.32626105,PA1650,-0.30819526,phzM,-0.4021546,pvdG,-0.33646408,PA1656,0.3217409,PA2177,0.34756721,PA5473,-0.4142794,rhlR,-0.39696061,PA4989,-0.39221561,PA1381,-0.36434712,ureE,-0.58758307,glpD,-0.35778103,popD,-0.3821761,PA0526,-0.4090756,pqsD,-0.36508526,PA0632,-0.35460746,PA2569,-0.38680541,dadX,-0.39312796,PA1914,-0.38474279,mucA,0.30760881,PA0126,-0.34373201,phzG2,-0.34326095,fdnH,-0.4027249,PA2039,-0.38964221,PA0107,-0.31352423,hutH,-0.32090882,gyrB,-0.39527314,pilQ,-0.33372702,PA1468,0.28866007,PA2731,-0.39564363,PA3828,-0.31829746,PA3091,-0.30798539,PA3962,-0.39882275
imm2,-0.3952104,PA2427,-0.32430643,PA0448,-0.42728959,pqsE,-0.31917631,PA5279,0.47796061,aspA,0.32449206,popB,-0.36753286,nqrA,-0.39674152,coaB,-0.62745144,osmE,-0.35508342,PA4875,-0.31036607,exaB,-0.41662368,PA0886,-0.30757027,PA1869,-0.3298804,exsD,-0.32944972,narK2,0.34455005,PA0131,-0.3680561,chpE,-0.32664503,phzS,-0.30848689,PA4219,-0.40300436,nqrE,-0.33814376,PA0646,0.32075994,murI,0.34748354,PA0730,-0.41535233,PA1370,-0.40006751,PA2831,-0.39488307,PA0848,-0.3648199,spuE,-0.58814131,PA1063,-0.35781758,dhcB,-0.38428813,PA0307,-0.40933369,PA4080,-0.36601918,PA1090,-0.35557724,PA0631,-0.38944318,aroP2,-0.39356277,PA2165,-0.38803711,algL,0.30734507,PA2797,-0.34397082,PA3330,-0.34339752,nirC,-0.40306703,PA3854,-0.38999451,PA1749,-0.3149792,fleS,-0.32197783,prs,-0.39632446,PA3661,-0.3339238,phuT,0.28799171,wbpI,-0.39683415,argB,-0.31840601,nirJ,-0.30873259,PA5251,-0.40164969
PA3142,-0.39751374,pilK,-0.32444828,rplW,-0.42991949,fdnG,-0.31918988,PA3348,0.47458,lecA,0.32366497,PA5390,-0.36753507,fis,-0.39680662,PA0716,-0.64338977,PA3795,-0.35630903,PA4874,-0.31164841,PA3091,-0.41668987,oprB,-0.30899713,PA4605,-0.33024213,chiC,-0.32978847,serC,0.34360527,PA3907,-0.36876986,PA2804,-0.32672789,braD,-0.30870786,PA0793,-0.40518753,PA1906,-0.3382525,PA4132,0.31985816,PA2609,0.34688111,pcaF,-0.41722617,PA5446,-0.40116713,PA0370,-0.39493981,PA0632,-0.36598046,PA2005,-0.58949503,PA2173,-0.35811587,PA4831,-0.38527764,nirC,-0.41239408,PA3365,-0.3662712,PA0486,-0.35636981,PA0747,-0.39007459,PA3359,-0.39392808,PA2562,-0.38826805,PA3785,0.30650195,PA0284,-0.34452971,flp,-0.34374482,bdlA,-0.40452619,PA0615,-0.39123871,PA3788,-0.31631333,PA5295,-0.32199045,sucA,-0.39766158,ppa,-0.33411721,dsbH,0.2877566,pvdL,-0.40011835,PA4543,-0.31876132,PA0635,-0.30917953,PA5047,-0.40167749
liuC,-0.39797814,PA2037,-0.32454444,PA2083,-0.43147308,PA3334,-0.31996461,rpoH,0.47330878,flgD,0.32327831,PA0751,-0.36856053,pcaR,-0.39695155,PA4352,-0.64412811,PA0729,-0.35696848,upp,-0.31239906,hutU,-0.41681282,phhB,-0.30923189,PA5424,-0.33027765,PA0733,-0.33091991,queA,0.34256834,PA3069,-0.36898872,nirJ,-0.33064743,pchF,-0.30917284,PA4071,-0.40607285,aprA,-0.33908062,PA4469,0.31970323,PA2175,0.34623186,PA3304,-0.41762664,PA2790,-0.40134153,pncB1,-0.39607584,PA5284,-0.36628674,PA3559,-0.58991892,PA3326,-0.35892677,azoR2,-0.38564227,PA1059,-0.41260667,PA3913,-0.36669415,plcH,-0.35841402,modA,-0.39479913,PA5160,-0.39529656,PA1021,-0.38992074,groEL,0.30596603,rpmB,-0.34479368,opdP,-0.34400395,PA2811,-0.40777742,PA3236,-0.3926371,PA2164,-0.31820521,PA1506,-0.32202662,PA0715,-0.39851745,pcrR,-0.33457555,PA0379,0.28686822,wbpJ,-0.40049316,PA4350,-0.32270941,norB,-0.30945194,PA1888,-0.40233661
